epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.577,3.58532,4.23469,1.12394,0.04907,0.31945,0.05703,0.01807,2.26948,3.77216,0.8214,0.000273259,0.000273259,0.000273259
2,596.404,2.33713,2.44964,0.82841,0.33918,0.48912,0.35024,0.14377,2.02523,1.91634,0.80904,0.000550388,0.000550388,0.000550388
3,868.2,2.1231,1.8532,0.82484,0.49363,0.57892,0.53,0.21194,2.16145,1.68032,0.80986,0.000825358,0.000825358,0.000825358
4,1143.57,2.06707,1.63122,0.81633,0.63156,0.61521,0.64406,0.30534,1.74116,1.42648,0.78612,0.000825696,0.000825696,0.000825696
5,1475.56,2.091,1.49267,0.8142,0.74369,0.65275,0.73047,0.34848,1.72455,1.31481,0.78701,0.000820046,0.000820046,0.000820046
6,1792.58,1.95252,1.3885,0.80898,0.78247,0.68269,0.77312,0.36508,1.70564,1.25139,0.77817,0.000812819,0.000812819,0.000812819
7,2094.59,1.94016,1.31503,0.79993,0.82299,0.71784,0.8208,0.43075,1.6082,1.17321,0.77588,0.000804044,0.000804044,0.000804044
8,2369.14,1.86709,1.25294,0.80468,0.83092,0.73547,0.83118,0.44198,1.53108,1.12734,0.77354,0.000793757,0.000793757,0.000793757
9,2626.68,1.82274,1.19563,0.79863,0.85634,0.77533,0.85929,0.44797,1.5954,1.06139,0.7741,0.000781997,0.000781997,0.000781997
10,2880.02,1.7726,1.12085,0.80466,0.85258,0.77181,0.87129,0.4862,1.4732,1.03407,0.76797,0.000768811,0.000768811,0.000768811
11,3144.34,1.80023,1.13192,0.79762,0.90711,0.78351,0.88476,0.44005,1.75007,1.0298,0.77489,0.000754251,0.000754251,0.000754251
12,3409.64,1.79172,1.12516,0.79515,0.88979,0.77721,0.87873,0.48214,1.45568,0.97796,0.77045,0.000738375,0.000738375,0.000738375
13,3667.02,1.72704,1.07475,0.78645,0.89345,0.81692,0.90132,0.5187,1.46581,0.9532,0.76472,0.000721244,0.000721244,0.000721244
14,3935.25,1.67093,1.03059,0.79342,0.86258,0.77429,0.84795,0.42279,1.64497,1.01665,0.77569,0.000702928,0.000702928,0.000702928
