epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.195,3.58532,4.23469,1.12394,0.04907,0.31945,0.05703,0.01807,2.26948,3.77216,0.8214,0.000273259,0.000273259,0.000273259
2,4507.26,2.3371,2.44962,0.82833,0.33856,0.48493,0.34894,0.14296,2.0392,1.91882,0.80972,0.000549432,0.000549432,0.000549432
3,4787.18,2.12449,1.85335,0.82489,0.49083,0.58093,0.53495,0.21724,2.12019,1.66959,0.80685,0.00081963,0.00081963,0.00081963
4,5051.82,2.06949,1.63186,0.81685,0.62844,0.60969,0.64364,0.30531,1.74312,1.42818,0.78611,0.000812819,0.000812819,0.000812819
5,5329.1,2.10365,1.49725,0.81502,0.73799,0.64921,0.72272,0.34808,1.71514,1.32833,0.78414,0.000797352,0.000797352,0.000797352
6,5612.9,1.95014,1.39876,0.80922,0.76371,0.67624,0.75382,0.34615,1.72748,1.25825,0.78167,0.000777758,0.000777758,0.000777758
7,5884.18,1.94496,1.33226,0.80064,0.82266,0.71462,0.82181,0.4311,1.59639,1.16287,0.77657,0.000754251,0.000754251,0.000754251
8,6165.37,1.86834,1.26447,0.80444,0.82582,0.74147,0.8348,0.4526,1.53536,1.14435,0.7717,0.00072709,0.00072709,0.00072709
9,6447.69,1.78511,1.18284,0.79744,0.84491,0.74457,0.84777,0.45071,1.58524,1.11622,0.77397,0.000696571,0.000696571,0.000696571
10,6739.16,1.75179,1.1286,0.80412,0.87545,0.76576,0.87036,0.46287,1.55661,1.06463,0.77271,0.000663029,0.000663029,0.000663029
11,7037.39,1.73232,1.121,0.79391,0.88688,0.7784,0.88644,0.50496,1.41034,0.96727,0.76593,0.000626833,0.000626833,0.000626833
12,7320.07,1.75214,1.10903,0.79364,0.87345,0.77006,0.86849,0.4769,1.51038,1.04428,0.7684,0.000588377,0.000588377,0.000588377
13,7632.15,1.71763,1.06244,0.78533,0.88892,0.80687,0.8956,0.48986,1.57536,0.97356,0.77018,0.000548084,0.000548084,0.000548084
14,7935.44,1.63976,1.0124,0.7918,0.84286,0.77125,0.83297,0.39066,1.72582,1.0635,0.77766,0.000506394,0.000506394,0.000506394
15,8213.32,1.67721,1.01963,0.78968,0.8947,0.79474,0.8955,0.50362,1.42416,0.93028,0.76497,0.000463766,0.000463766,0.000463766
16,8493.32,1.68624,1.02365,0.78363,0.90081,0.81944,0.9077,0.52118,1.43874,0.91275,0.7637,0.000420665,0.000420665,0.000420665
17,8771.12,1.62849,0.99214,0.78101,0.89116,0.81822,0.9076,0.50399,1.54743,0.92444,0.7689,0.000377564,0.000377564,0.000377564
18,9064.42,1.58738,0.96077,0.78051,0.92909,0.82455,0.92186,0.56269,1.34286,0.84788,0.76099,0.000334936,0.000334936,0.000334936
19,9352.59,1.57734,0.94229,0.78152,0.934,0.83302,0.92552,0.53868,1.39317,0.83758,0.7618,0.000293246,0.000293246,0.000293246
20,9627.3,1.53957,0.93551,0.78393,0.92352,0.83757,0.9256,0.55585,1.35235,0.83525,0.76163,0.000252953,0.000252953,0.000252953
21,9877.46,1.53059,0.92681,0.78046,0.92161,0.83796,0.92022,0.54232,1.37178,0.84203,0.75703,0.000214498,0.000214498,0.000214498
22,10137.4,1.4516,0.88395,0.77869,0.9338,0.84289,0.93104,0.56253,1.3476,0.81393,0.76117,0.000178301,0.000178301,0.000178301
23,10395.5,1.43304,0.8677,0.78465,0.94715,0.84317,0.93571,0.5949,1.26607,0.77804,0.75654,0.000144759,0.000144759,0.000144759
24,10644.3,1.4162,0.84937,0.77999,0.92583,0.83635,0.92834,0.56343,1.33332,0.82208,0.75846,0.00011424,0.00011424,0.00011424
25,15824.7,1.42174,0.85711,0.77788,0.93441,0.85557,0.93734,0.56115,1.32644,0.79872,0.75639,8.7079e-05,8.7079e-05,8.7079e-05
26,16223.5,1.41318,0.84638,0.78126,0.93201,0.84478,0.93475,0.58164,1.27358,0.78876,0.75657,6.35724e-05,6.35724e-05,6.35724e-05
27,78021.3,1.3866,0.8389,0.7774,0.94111,0.85437,0.93986,0.60249,1.25736,0.76536,0.75671,4.39782e-05,4.39782e-05,4.39782e-05
28,78283.9,1.38035,0.8258,0.77925,0.93778,0.84225,0.935,0.60779,1.19083,0.76516,0.75486,2.85111e-05,2.85111e-05,2.85111e-05
29,78557.8,1.35353,0.81609,0.78167,0.93853,0.85188,0.93869,0.61383,1.20646,0.76132,0.75516,1.73405e-05,1.73405e-05,1.73405e-05
30,78839.6,1.38103,0.82819,0.77799,0.94046,0.85149,0.93861,0.61842,1.18622,0.75785,0.75484,1.05888e-05,1.05888e-05,1.05888e-05
